Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Puducherry, 31-01-2019, M, 1.67, 467102.00, 39.79
Puducherry, 28-02-2019, M, 0.87, 504674.00, 42.55
Puducherry, 31-03-2019, M, 0.31, 400011.00, 33.45
Puducherry, 30-04-2019, M, 0.37, 504548.00, 42.12
Puducherry, 31-05-2019, M, 0.78, 456379.00, 38.16
Puducherry, 30-06-2019, M, 0.00, 488896.00, 40.46
Puducherry, 31-07-2019, M, 0.00, 420344.00, 34.70
Puducherry, 31-08-2019, M, 7.47, 496812.00, 44.21
Puducherry, 30-09-2019, M, 0.76, 462290.00, 38.26
Puducherry, 31-10-2019, M, 1.17, 492832.00, 40.86
Puducherry, 30-11-2019, M, 0.91, 417790.00, 34.46
Puducherry, 31-12-2019, M, 4.05, 493943.00, 41.97
Puducherry, 31-01-2020, M, 0.58, 457950.00, 37.46
Puducherry, 29-02-2020, M, 1.76, 493961.00, 40.80
Puducherry, 31-03-2020, M, 1.20, 421028.00, 34.49
Puducherry, 30-04-2020, M, 75.85, 117542.00, 39.30
Puducherry, 31-05-2020, M, 58.19, 172308.00, 33.19
Puducherry, 30-06-2020, M, 4.24, 367135.00, 30.80
Puducherry, 31-07-2020, M, 15.47, 386563.00, 36.64
Puducherry, 31-08-2020, M, 5.05, 396006.00, 33.34
Puducherry, 30-09-2020, M, 10.90, 411717.00, 36.84
Puducherry, 31-10-2020, M, 6.18, 428419.00, 36.32
Puducherry, 30-11-2020, M, 2.18, 407505.00, 33.05
Puducherry, 31-12-2020, M, 2.70, 415410.00, 33.79
Puducherry, 31-01-2021, M, 7.56, 420079.00, 35.87
Puducherry, 28-02-2021, M, 5.76, 420318.00, 35.13
Puducherry, 31-03-2021, M, 1.44, 418321.00, 33.34
Punjab, 30-04-2018, M, 7.16, 9565632.00, 43.08
Punjab, 31-05-2018, M, 7.26, 9442801.00, 42.50
Punjab, 30-06-2018, M, 8.29, 9159458.00, 41.61
Punjab, 31-07-2018, M, 8.44, 9818753.00, 44.60
Punjab, 31-08-2018, M, 5.37, 9692368.00, 42.52
Punjab, 30-09-2018, M, 9.83, 9626059.00, 44.24
Punjab, 31-10-2018, M, 11.68, 9227814.00, 43.23
Punjab, 30-11-2018, M, 8.56, 9817265.00, 44.34
Punjab, 31-12-2018, M, 5.83, 9710595.00, 42.52
Punjab, 31-01-2019, M, 10.47, 9604005.00, 44.15
Punjab, 28-02-2019, M, 12.39, 9205076.00, 43.18
Punjab, 31-03-2019, M, 9.80, 9731044.00, 44.25
Punjab, 30-04-2019, M, 7.51, 9641918.00, 42.69
Punjab, 31-05-2019, M, 10.73, 9378466.00, 42.94
Punjab, 30-06-2019, M, 12.55, 9333034.00, 43.55
Punjab, 31-07-2019, M, 10.36, 9900571.00, 44.99
Punjab, 31-08-2019, M, 8.68, 9683288.00, 43.12
Punjab, 30-09-2019, M, 11.29, 9481369.00, 43.39
Punjab, 31-10-2019, M, 12.97, 9092358.00, 42.33
Punjab, 30-11-2019, M, 8.29, 9997265.00, 44.10
Punjab, 31-12-2019, M, 8.36, 9739995.00, 42.92
Punjab, 31-01-2020, M, 11.11, 9442093.00, 42.82
Punjab, 29-02-2020, M, 10.97, 9229047.00, 41.72
Punjab, 31-03-2020, M, 10.32, 9975485.00, 44.69
Punjab, 30-04-2020, M, 2.86, 7020565.00, 28.99
Punjab, 31-05-2020, M, 28.33, 6872938.00, 38.39
Punjab, 30-06-2020, M, 16.55, 8390766.00, 40.18
Punjab, 31-07-2020, M, 9.19, 9732417.00, 42.76
Punjab, 31-08-2020, M, 10.99, 9386169.00, 41.99
Punjab, 30-09-2020, M, 9.61, 8979999.00, 39.50
Punjab, 31-10-2020, M, 9.83, 8811756.00, 38.78
Punjab, 30-11-2020, M, 7.64, 9550215.00, 40.96
Punjab, 31-12-2020, M, 4.37, 9369173.00, 38.75
Punjab, 31-01-2021, M, 8.09, 9097268.00, 39.07
Punjab, 28-02-2021, M, 7.21, 9037550.00, 38.39
Punjab, 31-03-2021, M, 7.35, 9590215.00, 40.73
Rajasthan, 30-04-2018, M, 7.40, 19053973.00, 37.75
Rajasthan, 31-05-2018, M, 5.36, 20019460.00, 38.71
Rajasthan, 30-06-2018, M, 10.08, 19367639.00, 39.33
Rajasthan, 31-07-2018, M, 9.49, 19558725.00, 39.36
Rajasthan, 31-08-2018, M, 9.75, 19277283.00, 38.82
Rajasthan, 30-09-2018, M, 7.58, 19564512.00, 38.39
Rajasthan, 31-10-2018, M, 13.63, 19543972.00, 40.94
Rajasthan, 30-11-2018, M, 12.51, 19776255.00, 40.80
Rajasthan, 31-12-2018, M, 14.87, 19491220.00, 41.23
Rajasthan, 31-01-2019, M, 7.67, 19802750.00, 38.53
Rajasthan, 28-02-2019, M, 10.58, 20445986.00, 40.99
Rajasthan, 31-03-2019, M, 9.71, 19964844.00, 39.54
Rajasthan, 30-04-2019, M, 12.58, 20053759.00, 40.93
Rajasthan, 31-05-2019, M, 6.63, 20334436.00, 38.77
Rajasthan, 30-06-2019, M, 13.88, 19851738.00, 40.94
Rajasthan, 31-07-2019, M, 10.23, 20232340.00, 39.94
Rajasthan, 31-08-2019, M, 13.08, 20247209.00, 41.18
Rajasthan, 30-09-2019, M, 7.52, 20467523.00, 39.03
Rajasthan, 31-10-2019, M, 14.24, 20562884.00, 42.19
Rajasthan, 30-11-2019, M, 11.49, 20585267.00, 40.83
Rajasthan, 31-12-2019, M, 15.01, 20594797.00, 42.44
Rajasthan, 31-01-2020, M, 10.97, 20641716.00, 40.51
Rajasthan, 29-02-2020, M, 15.16, 20328915.00, 41.77
Rajasthan, 31-03-2020, M, 11.90, 20024680.00, 39.54
Rajasthan, 30-04-2020, M, 17.70, 15984142.00, 33.71
Rajasthan, 31-05-2020, M, 15.74, 19826602.00, 40.74
Rajasthan, 30-06-2020, M, 14.39, 20506612.00, 41.38
Rajasthan, 31-07-2020, M, 15.81, 19932393.00, 40.80
Rajasthan, 31-08-2020, M, 17.51, 20014060.00, 41.71
Rajasthan, 30-09-2020, M, 15.35, 20149594.00, 40.83
Rajasthan, 31-10-2020, M, 24.10, 19913403.00, 44.90
Rajasthan, 30-11-2020, M, 18.52, 20268396.00, 42.47
Rajasthan, 31-12-2020, M, 28.23, 19786545.00, 46.96
Rajasthan, 31-01-2021, M, 17.69, 21125626.00, 43.62
Rajasthan, 28-02-2021, M, 25.63, 20096427.00, 45.83
Rajasthan, 31-03-2021, M, 19.74, 20392741.00, 42.99
Sikkim, 30-09-2018, M, 11.25, 280884.00, 58.62
Sikkim, 31-10-2018, M, 12.14, 207652.00, 43.66
Sikkim, 30-11-2018, M, 4.69, 258027.00, 49.87
Sikkim, 31-01-2019, M, 13.24, 274484.00, 57.97
Sikkim, 28-02-2019, M, 8.30, 227220.00, 45.28
Sikkim, 31-03-2019, M, 6.80, 265777.00, 51.97
Sikkim, 30-04-2019, M, 4.79, 219201.00, 41.85
Sikkim, 31-05-2019, M, 13.31, 271818.00, 56.83
Sikkim, 30-06-2019, M, 8.99, 229429.00, 45.56
Sikkim, 31-07-2019, M, 6.81, 265454.00, 51.34
Sikkim, 31-08-2019, M, 2.06, 218190.00, 40.04
Sikkim, 30-09-2019, M, 6.41, 280086.00, 53.64
Sikkim, 31-10-2019, M, 7.10, 234662.00, 45.14
Sikkim, 30-11-2019, M, 9.71, 270177.00, 53.33
Sikkim, 31-12-2019, M, 3.34, 249682.00, 45.90
Sikkim, 31-03-2020, M, 23.57, 262895.00, 60.59
Sikkim, 30-04-2020, M, 2.28, 215303.00, 38.70
Sikkim, 31-05-2020, M, 24.51, 193427.00, 44.88
Sikkim, 30-06-2020, M, 4.46, 221058.00, 40.40
Sikkim, 31-07-2020, M, 4.45, 265175.00, 48.32
Sikkim, 31-08-2020, M, 12.49, 244462.00, 48.49
Sikkim, 30-09-2020, M, 5.70, 231798.00, 42.54
Sikkim, 31-10-2020, M, 0.88, 242068.00, 42.13
Sikkim, 30-11-2020, M, 1.85, 265087.00, 46.46
Sikkim, 31-12-2020, M, 0.67, 291263.00, 50.29
Sikkim, 31-01-2021, M, 0.00, 271163.00, 46.35
Sikkim, 28-02-2021, M, 4.29, 269144.00, 47.94
Sikkim, 31-03-2021, M, 1.74, 268111.00, 46.37
Tamil Nadu, 30-04-2018, M, 1.87, 30027606.00, 48.60
Tamil Nadu, 31-05-2018, M, 2.08, 30141678.00, 48.81
Tamil Nadu, 30-06-2018, M, 1.51, 29200317.00, 46.94
Tamil Nadu, 31-07-2018, M, 2.56, 29806640.00, 48.35
Tamil Nadu, 31-08-2018, M, 1.60, 29456524.00, 47.24
Tamil Nadu, 30-09-2018, M, 1.80, 28568698.00, 45.84
Tamil Nadu, 31-10-2018, M, 1.10, 28284400.00, 44.99
Tamil Nadu, 30-11-2018, M, 3.02, 29311576.00, 47.48
Tamil Nadu, 31-12-2018, M, 2.07, 28063954.00, 44.94
Tamil Nadu, 31-01-2019, M, 2.25, 27520190.00, 44.08
Tamil Nadu, 28-02-2019, M, 1.91, 27638278.00, 44.05
Tamil Nadu, 31-03-2019, M, 1.72, 28235810.00, 44.84
Tamil Nadu, 30-04-2019, M, 1.23, 27490694.00, 43.38
Tamil Nadu, 31-05-2019, M, 0.94, 27642770.00, 43.42
Tamil Nadu, 30-06-2019, M, 1.19, 28694054.00, 45.12
Tamil Nadu, 31-07-2019, M, 4.83, 28510351.00, 46.47
Tamil Nadu, 31-08-2019, M, 5.80, 28397017.00, 46.69
Tamil Nadu, 30-09-2019, M, 1.80, 26967205.00, 42.46
Tamil Nadu, 31-10-2019, M, 1.31, 27819597.00, 43.52
Tamil Nadu, 30-11-2019, M, 2.54, 27953384.00, 44.21
Tamil Nadu, 31-12-2019, M, 5.70, 27617321.00, 45.07
Tamil Nadu, 31-01-2020, M, 1.57, 26881641.00, 41.96
Tamil Nadu, 29-02-2020, M, 2.09, 27570589.00, 43.20
Tamil Nadu, 31-03-2020, M, 6.40, 26830768.00, 43.91
Tamil Nadu, 30-04-2020, M, 49.83, 9719167.00, 29.63
Tamil Nadu, 31-05-2020, M, 33.16, 11483256.00, 26.23
Tamil Nadu, 30-06-2020, M, 12.20, 19096847.00, 33.16
Tamil Nadu, 31-07-2020, M, 6.81, 24572827.00, 40.13
Tamil Nadu, 31-08-2020, M, 2.65, 27046415.00, 42.22
Tamil Nadu, 30-09-2020, M, 5.00, 23025845.00, 36.77
Tamil Nadu, 31-10-2020, M, 2.16, 23651626.00, 36.62
Tamil Nadu, 30-11-2020, M, 1.15, 24629525.00, 37.68
Tamil Nadu, 31-12-2020, M, 0.53, 25020860.00, 37.98
Tamil Nadu, 31-01-2021, M, 3.99, 22930424.00, 36.00
Tamil Nadu, 28-02-2021, M, 4.79, 23539357.00, 37.22
Tamil Nadu, 31-03-2021, M, 3.02, 24688097.00, 38.26
Telangana, 30-04-2018, M, 1.97, 14615094.00, 49.33
Telangana, 31-05-2018, M, 0.97, 14067425.00, 46.91
Telangana, 30-06-2018, M, 1.19, 15242436.00, 50.85
Telangana, 31-07-2018, M, 0.75, 16613504.00, 55.07
Telangana, 31-08-2018, M, 0.49, 15788971.00, 52.10
Telangana, 30-09-2018, M, 0.44, 16593024.00, 54.63
Telangana, 31-10-2018, M, 0.94, 14672276.00, 48.45
Telangana, 30-11-2018, M, 0.52, 16996261.00, 55.79
Telangana, 31-12-2018, M, 0.94, 15232136.00, 50.11
Telangana, 31-01-2019, M, 2.61, 16647293.00, 55.60
Telangana, 28-02-2019, M, 2.38, 15556530.00, 51.74
Telangana, 31-03-2019, M, 2.48, 16619084.00, 55.23
Telangana, 30-04-2019, M, 2.66, 15128939.00, 50.28
Telangana, 31-05-2019, M, 1.99, 16614003.00, 54.73
Telangana, 30-06-2019, M, 4.41, 16412169.00, 55.34
Telangana, 31-07-2019, M, 2.86, 16971193.00, 56.20
Telangana, 31-08-2019, M, 2.37, 16288655.00, 53.56
Telangana, 30-09-2019, M, 4.82, 17084091.00, 57.52
Telangana, 31-10-2019, M, 7.11, 16693687.00, 57.48
Telangana, 30-11-2019, M, 6.07, 16603948.00, 56.44
Telangana, 31-12-2019, M, 2.30, 16385834.00, 53.44
Telangana, 31-01-2020, M, 5.49, 17609295.00, 59.25
Telangana, 29-02-2020, M, 8.29, 16825970.00, 58.24
Telangana, 31-03-2020, M, 5.77, 17341613.00, 58.31
Telangana, 30-04-2020, M, 6.25, 12172230.00, 41.06
Telangana, 31-05-2020, M, 14.70, 14977774.00, 55.43
Telangana, 30-06-2020, M, 10.55, 15108910.00, 53.22
Telangana, 31-07-2020, M, 5.36, 15679417.00, 52.10
Telangana, 31-08-2020, M, 5.79, 18185429.00, 60.59
Telangana, 30-09-2020, M, 3.27, 16958984.00, 54.93
Telangana, 31-10-2020, M, 2.93, 17417825.00, 56.11
Telangana, 30-11-2020, M, 1.56, 17190976.00, 54.51
Telangana, 31-12-2020, M, 7.05, 13239092.00, 44.37
Telangana, 31-01-2021, M, 4.26, 16304175.00, 52.95
Telangana, 28-02-2021, M, 5.58, 16040348.00, 52.73
Telangana, 31-03-2021, M, 3.67, 16373619.00, 52.65
Tripura, 30-04-2018, M, 13.55, 1340371.00, 50.12
Tripura, 31-05-2018, M, 23.68, 1441375.00, 60.94
Tripura, 30-06-2018, M, 22.13, 1440654.00, 59.58
Tripura, 31-07-2018, M, 17.86, 1330820.00, 52.09
Tripura, 31-08-2018, M, 27.43, 1384626.00, 61.23
Tripura, 30-09-2018, M, 39.10, 1375891.00, 72.36
Tripura, 31-10-2018, M, 32.43, 1480505.00, 70.05
Tripura, 30-11-2018, M, 32.34, 1408467.00, 66.44
Tripura, 31-12-2018, M, 27.34, 1430316.00, 62.71
Tripura, 31-01-2019, M, 32.63, 1434823.00, 67.72
Tripura, 28-02-2019, M, 26.16, 1544426.00, 66.40
Tripura, 31-03-2019, M, 22.98, 1449641.00, 59.64
Tripura, 30-04-2019, M, 25.43, 1435520.00, 60.89
Tripura, 31-05-2019, M, 30.94, 1442676.00, 65.95
Tripura, 30-06-2019, M, 26.36, 1515751.00, 64.87
Tripura, 31-07-2019, M, 23.44, 1463180.00, 60.12
Tripura, 31-08-2019, M, 27.86, 1344478.00, 58.52
Tripura, 30-09-2019, M, 31.23, 1452452.00, 66.20
Tripura, 31-10-2019, M, 27.31, 1528572.00, 65.79
Tripura, 30-11-2019, M, 25.80, 1512333.00, 63.65
Tripura, 31-12-2019, M, 28.59, 1446305.00, 63.14
Tripura, 31-01-2020, M, 32.67, 1508130.00, 69.69
Tripura, 29-02-2020, M, 28.40, 1584686.00, 68.74
Tripura, 31-03-2020, M, 29.95, 1511217.00, 66.89
Tripura, 30-04-2020, M, 41.23, 971514.00, 51.16
Tripura, 31-05-2020, M, 21.51, 1290986.00, 50.81
Tripura, 30-06-2020, M, 21.71, 1494140.00, 58.85
Tripura, 31-07-2020, M, 18.24, 1348849.00, 50.78
Tripura, 31-08-2020, M, 27.92, 1318621.00, 56.21
Tripura, 30-09-2020, M, 17.35, 1368244.00, 50.77
Tripura, 31-10-2020, M, 11.57, 1576529.00, 54.58
Tripura, 30-11-2020, M, 13.06, 1454568.00, 51.13
Tripura, 31-12-2020, M, 18.21, 1389711.00, 51.82
Tripura, 31-01-2021, M, 18.15, 1395070.00, 51.89
Tripura, 28-02-2021, M, 11.05, 1629794.00, 55.69
Tripura, 31-03-2021, M, 13.94, 1493608.00, 52.65
Uttar Pradesh, 30-04-2018, M, 5.56, 56525466.00, 38.64
Uttar Pradesh, 31-05-2018, M, 5.21, 56869822.00, 38.64
Uttar Pradesh, 30-06-2018, M, 4.04, 57795994.00, 38.71
Uttar Pradesh, 31-07-2018, M, 4.63, 56798203.00, 38.19
Uttar Pradesh, 31-08-2018, M, 8.50, 56361205.00, 39.41
Uttar Pradesh, 30-09-2018, M, 7.88, 56621023.00, 39.24
Uttar Pradesh, 31-10-2018, M, 6.19, 56735101.00, 38.52
Uttar Pradesh, 30-11-2018, M, 6.98, 56398508.00, 38.54
Uttar Pradesh, 31-12-2018, M, 11.03, 56170553.00, 40.04
Uttar Pradesh, 31-01-2019, M, 9.59, 56136714.00, 39.29
Uttar Pradesh, 28-02-2019, M, 9.52, 55641146.00, 38.83
Uttar Pradesh, 31-03-2019, M, 8.87, 57027803.00, 39.43
Uttar Pradesh, 30-04-2019, M, 11.06, 57829154.00, 40.88
Uttar Pradesh, 31-05-2019, M, 11.28, 56679062.00, 40.07
Uttar Pradesh, 30-06-2019, M, 11.25, 55900999.00, 39.42
Uttar Pradesh, 31-07-2019, M, 9.84, 56559433.00, 39.18
Uttar Pradesh, 31-08-2019, M, 12.27, 56878991.00, 40.40
Uttar Pradesh, 30-09-2019, M, 8.11, 57838879.00, 39.14
Uttar Pradesh, 31-10-2019, M, 10.22, 56771594.00, 39.23
Uttar Pradesh, 30-11-2019, M, 8.05, 57390420.00, 38.64
Uttar Pradesh, 31-12-2019, M, 9.39, 58497260.00, 39.87
Uttar Pradesh, 31-01-2020, M, 7.58, 59433759.00, 39.63
Uttar Pradesh, 29-02-2020, M, 8.98, 58060531.00, 39.23
Uttar Pradesh, 31-03-2020, M, 10.11, 56976338.00, 38.89
Uttar Pradesh, 30-04-2020, M, 21.54, 50915056.00, 39.73
Uttar Pradesh, 31-05-2020, M, 20.41, 49801902.00, 38.22
Uttar Pradesh, 30-06-2020, M, 9.47, 55380649.00, 37.29
Uttar Pradesh, 31-07-2020, M, 5.56, 56201654.00, 36.19
Uttar Pradesh, 31-08-2020, M, 5.79, 55831744.00, 35.96
Uttar Pradesh, 30-09-2020, M, 4.18, 56106836.00, 35.45
Uttar Pradesh, 31-10-2020, M, 3.75, 56539521.00, 35.49
Uttar Pradesh, 30-11-2020, M, 5.16, 56720101.00, 36.05
Uttar Pradesh, 31-12-2020, M, 14.95, 55796313.00, 39.46
Uttar Pradesh, 31-01-2021, M, 4.89, 55124290.00, 34.78
Uttar Pradesh, 28-02-2021, M, 4.10, 56568780.00, 35.33
Uttar Pradesh, 31-03-2021, M, 4.14, 55834036.00, 34.80
Uttarakhand, 30-04-2018, M, 0.92, 2775194.00, 33.69
Uttarakhand, 31-05-2018, M, 1.00, 2833419.00, 34.35
Uttarakhand, 30-06-2018, M, 1.26, 2901086.00, 35.19
Uttarakhand, 31-07-2018, M, 2.33, 2947761.00, 36.07
Uttarakhand, 31-08-2018, M, 0.33, 2734560.00, 32.71
Uttarakhand, 30-09-2018, M, 2.36, 2804291.00, 34.17
Uttarakhand, 31-10-2018, M, 4.37, 2852962.00, 35.42
Uttarakhand, 30-11-2018, M, 4.06, 2900676.00, 35.82
Uttarakhand, 31-12-2018, M, 5.48, 2775272.00, 34.71
Uttarakhand, 31-01-2019, M, 3.53, 2879018.00, 35.21
Uttarakhand, 28-02-2019, M, 5.12, 2852743.00, 35.40
Uttarakhand, 31-03-2019, M, 5.00, 2852673.00, 35.28
Uttarakhand, 30-04-2019, M, 6.36, 2732098.00, 34.20
Uttarakhand, 31-05-2019, M, 3.58, 2784842.00, 33.78
Uttarakhand, 30-06-2019, M, 4.66, 2928442.00, 35.86
Uttarakhand, 31-07-2019, M, 6.10, 2860425.00, 35.48
Uttarakhand, 31-08-2019, M, 6.52, 2735347.00, 34.01
Uttarakhand, 30-09-2019, M, 5.07, 2868994.00, 35.05
Uttarakhand, 31-10-2019, M, 4.80, 2952837.00, 35.89
Uttarakhand, 30-11-2019, M, 5.80, 2912016.00, 35.70
Uttarakhand, 31-12-2019, M, 5.41, 2792345.00, 34.01
Uttarakhand, 31-01-2020, M, 5.49, 2711639.00, 32.99
Uttarakhand, 29-02-2020, M, 4.99, 3020931.00, 36.48
Uttarakhand, 31-03-2020, M, 19.85, 2539302.00, 36.27
Uttarakhand, 30-04-2020, M, 6.48, 2720115.00, 33.23
Uttarakhand, 31-05-2020, M, 8.01, 2694072.00, 33.38
Uttarakhand, 30-06-2020, M, 8.61, 2656071.00, 33.06
Uttarakhand, 31-07-2020, M, 12.38, 2938552.00, 38.07
Uttarakhand, 31-08-2020, M, 14.26, 2717528.00, 35.90
Uttarakhand, 30-09-2020, M, 22.26, 2695230.00, 39.18
Uttarakhand, 31-10-2020, M, 9.23, 2739309.00, 34.03
Uttarakhand, 30-11-2020, M, 1.47, 2447664.00, 27.95
Uttarakhand, 31-12-2020, M, 5.19, 2647822.00, 31.36
Uttarakhand, 31-01-2021, M, 4.45, 2531098.00, 29.68
Uttarakhand, 28-02-2021, M, 4.69, 2775542.00, 32.56
Uttarakhand, 31-03-2021, M, 3.26, 2511431.00, 28.96
West Bengal, 30-04-2018, M, 6.24, 33967751.00, 46.38
West Bengal, 31-05-2018, M, 7.37, 33663732.00, 46.43
West Bengal, 30-06-2018, M, 7.82, 34147434.00, 47.24
West Bengal, 31-07-2018, M, 6.43, 34253459.00, 46.60
West Bengal, 31-08-2018, M, 5.70, 34492073.00, 46.47
West Bengal, 30-09-2018, M, 7.14, 33858370.00, 46.24
West Bengal, 31-10-2018, M, 6.74, 34891251.00, 47.35
West Bengal, 30-11-2018, M, 6.15, 34765004.00, 46.79
West Bengal, 31-12-2018, M, 5.89, 35003804.00, 46.90
West Bengal, 31-01-2019, M, 6.95, 34442774.00, 46.58
West Bengal, 28-02-2019, M, 6.45, 35325211.00, 47.43
West Bengal, 31-03-2019, M, 6.10, 35655928.00, 47.61
West Bengal, 30-04-2019, M, 6.55, 35642390.00, 47.73
West Bengal, 31-05-2019, M, 6.43, 34759070.00, 46.40
West Bengal, 30-06-2019, M, 6.31, 36154978.00, 48.11
West Bengal, 31-07-2019, M, 6.32, 35637632.00, 47.34
West Bengal, 31-08-2019, M, 6.12, 36381326.00, 48.13
West Bengal, 30-09-2019, M, 6.41, 35681623.00, 47.26
West Bengal, 31-10-2019, M, 7.10, 34916695.00, 46.50
West Bengal, 30-11-2019, M, 6.06, 36398814.00, 47.85
West Bengal, 31-12-2019, M, 6.25, 36241930.00, 47.65
West Bengal, 31-01-2020, M, 6.94, 35820789.00, 47.35
West Bengal, 29-02-2020, M, 4.92, 36964178.00, 47.74
West Bengal, 31-03-2020, M, 6.92, 35903917.00, 47.27
West Bengal, 30-04-2020, M, 17.41, 26938836.00, 39.90
West Bengal, 31-05-2020, M, 17.41, 28356675.00, 41.92
West Bengal, 30-06-2020, M, 7.29, 30726310.00, 40.39
West Bengal, 31-07-2020, M, 6.83, 35372506.00, 46.17
West Bengal, 31-08-2020, M, 14.87, 33298644.00, 47.48
West Bengal, 30-09-2020, M, 9.31, 35877583.00, 47.93
West Bengal, 31-10-2020, M, 10.22, 33856332.00, 45.60
West Bengal, 30-11-2020, M, 11.24, 33420675.00, 45.45
West Bengal, 31-12-2020, M, 6.01, 35829652.00, 45.93
West Bengal, 31-01-2021, M, 5.25, 36563881.00, 46.40
West Bengal, 28-02-2021, M, 6.22, 37127736.00, 47.52
West Bengal, 31-03-2021, M, 7.51, 35827410.00, 46.41
India, 30-04-2018, M, 5.57, 401930972.00, 43.02
India, 31-05-2018, M, 5.14, 401972361.00, 42.75
India, 30-06-2018, M, 5.75, 401484904.00, 42.88
India, 31-07-2018, M, 5.66, 401114819.00, 42.72
India, 31-08-2018, M, 6.27, 397988063.00, 42.58
India, 30-09-2018, M, 6.47, 403098663.00, 43.13
India, 31-10-2018, M, 6.83, 396084619.00, 42.46
India, 30-11-2018, M, 6.65, 401073049.00, 42.83
India, 31-12-2018, M, 7.02, 397460299.00, 42.53
India, 31-01-2019, M, 6.86, 406093726.00, 43.29
India, 28-02-2019, M, 7.20, 399913970.00, 42.71
India, 31-03-2019, M, 6.65, 402600865.00, 42.66
India, 30-04-2019, M, 7.35, 399248195.00, 42.54
India, 31-05-2019, M, 7.03, 403703192.00, 42.78
India, 30-06-2019, M, 7.87, 400337390.00, 42.73
India, 31-07-2019, M, 7.34, 403064278.00, 42.69
India, 31-08-2019, M, 8.19, 403245519.00, 43.02
India, 30-09-2019, M, 7.14, 406718757.00, 42.81
India, 31-10-2019, M, 8.10, 404124236.00, 42.90
India, 30-11-2019, M, 7.23, 403049912.00, 42.30
India, 31-12-2019, M, 7.60, 405647546.00, 42.66
India, 31-01-2020, M, 7.22, 410473913.00, 42.90
India, 29-02-2020, M, 7.76, 405954169.00, 42.60
India, 31-03-2020, M, 8.75, 395840756.00, 41.90
India, 30-04-2020, M, 23.52, 282203816.00, 35.57
India, 31-05-2020, M, 21.73, 313793837.00, 38.57
India, 30-06-2020, M, 10.18, 376993536.00, 40.30
India, 31-07-2020, M, 7.40, 392341064.00, 40.61
India, 31-08-2020, M, 8.35, 392520303.00, 40.96
India, 30-09-2020, M, 6.68, 397739844.00, 40.68
India, 31-10-2020, M, 7.02, 396450375.00, 40.62
India, 30-11-2020, M, 6.50, 394133855.00, 40.08
India, 31-12-2020, M, 9.06, 388777142.00, 40.56
India, 31-01-2021, M, 6.52, 400709258.00, 40.59
India, 28-02-2021, M, 6.89, 398213434.00, 40.43
India, 31-03-2021, M, 6.50, 398145073.00, 40.17
