,Country,Code,got_letter_back,letter_back_90_days,avg_days_get_letter_back,all_indexn_c,consistent,gdp_percent_change_2011_2016,2012_gdp,incpc_percent_change_2011_2016,2012_incpc,2012_voice,Country Code,labor_percent_change_2011_2016,2012_labor
68,Portugal,PRT,0.9,0.5,122.6,3.925439,3.31,-14,20564.88986,-14,16384.42587,1.028528333,PRT,-4,5388428
69,Senegal,SEN,0.6,0.3,230.5,4.719298,3.38,-7,1317.779802,-8,1154.187556,-0.004189134,SEN,10,3584979
70,Singapore,SGP,0.8,0.3,154.7,2.497807,5.08,5,55546.48854,-1,45541.58172,0.05309137,SGP,13,3207409
71,Slovenia,SVN,0.9,0.7,96.9,4.258772,3.81,-14,22643.10025,-15,17512.84154,0.999778092,SVN,-2,1017670
72,South Africa,ZAF,0.8,0.1,188.5,1.677632,3.67,-34,7501.661096,-33,6076.289798,0.58215332,ZAF,15,19748124
73,Spain,ESP,1,0.6,101.4,5.247807,2.77,-16,28324.42934,-14,23567.27636,1.064178824,ESP,-2,23582846
74,Sri Lanka,LKA,0.4,0.3,283.6,3.776002,,21,3350.521876,19,3071.743414,-0.575279295,LKA,6,8169734
75,Swaziland,SWZ,0.1,0,387.4,3.699562,,-24,4527.681573,-23,3544.477156,-1.281684399,SWZ,8,331425
76,Sweden,SWE,0.9,0.9,85.2,2.982456,3.86,-14,58037.82132,-16,49444.20065,1.690358043,SWE,5,5036384
77,Switzerland,CHE,0.9,0.8,96.2,3.131579,,-9,86547.67089,-10,67027.07335,1.640122056,CHE,8,4597342
78,Tanzania,TZA,0,0,418.8,3.822055,3.04,24,867.8574989,25,747.4716745,-0.176013693,TZA,14,22147431
79,Thailand,THA,0.2,0.1,351.3,3.138158,4.05,9,5860.581471,5,4503.000714,-0.321141154,THA,-3,40107525
80,Tunisia,TUN,0.5,0.2,257.5,4.048246,4.43,-13,4152.684394,4,3099.436742,-0.171652213,TUN,4,3962506
81,Turkey,TUR,0.7,0.4,188.3,2.528509,3.27,-5,11795.63346,-5,9965.796196,-0.206933513,TUR,17,26782237
82,Uganda,UGA,0.3,0,389.4,2.60683,2.77,-12,786.738711,-13,565.8640648,-0.493546128,UGA,21,12605360
83,Ukraine,UKR,0.8,0.3,175.6,3.664474,2.59,-39,3855.417729,-34,3244.330201,-0.279543012,UKR,-4,21425570
84,United Kingdom,GBR,0.9,0.2,134.4,2.5849,3.05,-2,42449.10767,-5,35451.94425,1.339132667,GBR,5,32582928
85,Uruguay,URY,1,0.9,54,4.054824,3,17,15171.58017,6,12640.23355,1.06096673,URY,1,1730455
86,"Venezuela, RB",VEN,0.2,0,372,6.008772,2.19,,12986.22269,,11664.13365,-0.906963706,VEN,3,13091253
87,Vietnam,VNM,0.9,0.2,159.4,3.25,,44,1735.152116,56,1325.618807,-1.420068979,VNM,7,52979510
88,Zambia,ZMB,0.8,0,295,2.130639,3.32,-23,1763.069442,-16,1368.047753,-0.132826567,ZMB,18,5786691
89,Zimbabwe,ZWE,0.4,0,320.2,3.105263,3.07,34,1304.968011,51,989.8218129,-1.471968174,ZWE,8,6285553
